Regio,Migratieachtergrond,value
Gelderland (PV),Hongarije,1216
Gelderland (PV),Hongkong,1410
Gelderland (PV),India,596
Gelderland (PV),Indonesië,47101
Gelderland (PV),Irak,4809
Gelderland (PV),Iran,2861
Gelderland (PV),Italië,3149
Gelderland (PV),Japan,232
Gelderland (PV),Kaapverdië,56
Gelderland (PV),Marokko,17660
Gelderland (PV),Oostenrijk,1575
Gelderland (PV),Pakistan,438
Gelderland (PV),Polen,3156
Gelderland (PV),Portugal,529
Gelderland (PV),Somalië,3087
Gelderland (PV),Spanje,2168
Gelderland (PV),Suriname,10822
Gelderland (PV),Turkije,35812
Gelderland (PV),Verenigd Koninkrijk,5185
Gelderland (PV),Verenigde Staten van Amerika,1978
Gelderland (PV),Vietnam,1975
Gelderland (PV),Zuid-Afrika,1404
Gelderland (PV),Overig Afrika,8289
Gelderland (PV),Overig Amerika,2335
Gelderland (PV),Overig Azië,5151
Gelderland (PV),Overig Europa,5012
Gelderland (PV),Overig Oceanië,474
Utrecht (PV),Afghanistan,2407
Utrecht (PV),Australië,1088
Utrecht (PV),België,4408
Utrecht (PV),Brazilië,628
Utrecht (PV),Canada en overig Noord-Amerika,937
Utrecht (PV),China,2465
Utrecht (PV),Colombia,482
Utrecht (PV),Dominicaanse Republiek,322
Utrecht (PV),Duitsland,19755
Utrecht (PV),Egypte,904
Utrecht (PV),Ethiopië,780
Utrecht (PV),Filippijnen,594
Utrecht (PV),Frankrijk,2416
Utrecht (PV),Ghana,416
Utrecht (PV),Griekenland,2208
Utrecht (PV),Hongarije,976
Utrecht (PV),Hongkong,1395
Utrecht (PV),India,676
Utrecht (PV),Indonesië,34483
Utrecht (PV),Irak,2971
Utrecht (PV),Iran,2392
Utrecht (PV),Italië,2378
Utrecht (PV),Japan,317
Utrecht (PV),Kaapverdië,67
Utrecht (PV),Marokko,39839
Utrecht (PV),Oostenrijk,1082
Utrecht (PV),Pakistan,400
Utrecht (PV),Polen,2117
Utrecht (PV),Portugal,395
Utrecht (PV),Somalië,2242
Utrecht (PV),Spanje,2281
Utrecht (PV),Suriname,17435
Utrecht (PV),Turkije,23000
Utrecht (PV),Verenigd Koninkrijk,4853
Utrecht (PV),Verenigde Staten van Amerika,2621
Utrecht (PV),Vietnam,1211
Utrecht (PV),Zuid-Afrika,1407
Utrecht (PV),Overig Afrika,5255
Utrecht (PV),Overig Amerika,2291
Utrecht (PV),Overig Azië,3598
Utrecht (PV),Overig Europa,4720
Utrecht (PV),Overig Oceanië,394
Noord-Holland (PV),Afghanistan,6078
Noord-Holland (PV),Australië,3614
Noord-Holland (PV),België,10998
Noord-Holland (PV),Brazilië,3114
