Regio,Migratieachtergrond,value
Noord-Holland (PV),Verenigde Staten van Amerika,13790
Noord-Holland (PV),Vietnam,4127
Noord-Holland (PV),Zuid-Afrika,5148
Noord-Holland (PV),Overig Afrika,22447
Noord-Holland (PV),Overig Amerika,15664
Noord-Holland (PV),Overig Azië,27972
Noord-Holland (PV),Overig Europa,31142
Noord-Holland (PV),Overig Oceanië,1697
Zuid-Holland (PV),Afghanistan,12693
Zuid-Holland (PV),Australië,3630
Zuid-Holland (PV),België,17201
Zuid-Holland (PV),Brazilië,6061
Zuid-Holland (PV),Canada en overig Noord-Amerika,3597
Zuid-Holland (PV),China,22258
Zuid-Holland (PV),Colombia,5593
Zuid-Holland (PV),Dominicaanse Republiek,5663
Zuid-Holland (PV),Duitsland,54928
Zuid-Holland (PV),Egypte,6065
Zuid-Holland (PV),Ethiopië,5183
Zuid-Holland (PV),Filippijnen,5424
Zuid-Holland (PV),Frankrijk,12525
Zuid-Holland (PV),Ghana,4581
Zuid-Holland (PV),Griekenland,7270
Zuid-Holland (PV),Hongarije,5858
Zuid-Holland (PV),Hongkong,6402
Zuid-Holland (PV),India,9184
Zuid-Holland (PV),Indonesië,89043
Zuid-Holland (PV),Irak,15022
Zuid-Holland (PV),Iran,11764
Zuid-Holland (PV),Italië,12039
Zuid-Holland (PV),Japan,1789
Zuid-Holland (PV),Kaapverdië,19887
Zuid-Holland (PV),Marokko,121367
Zuid-Holland (PV),Oostenrijk,3933
Zuid-Holland (PV),Pakistan,9867
Zuid-Holland (PV),Polen,45827
Zuid-Holland (PV),Portugal,10056
Zuid-Holland (PV),Somalië,11269
Zuid-Holland (PV),Spanje,12035
Zuid-Holland (PV),Suriname,149698
Zuid-Holland (PV),Turkije,133694
Zuid-Holland (PV),Verenigd Koninkrijk,23017
Zuid-Holland (PV),Verenigde Staten van Amerika,9512
Zuid-Holland (PV),Vietnam,4029
Zuid-Holland (PV),Zuid-Afrika,4828
Zuid-Holland (PV),Overig Afrika,31587
Zuid-Holland (PV),Overig Amerika,15227
Zuid-Holland (PV),Overig Azië,28602
Zuid-Holland (PV),Overig Europa,34036
Zuid-Holland (PV),Overig Oceanië,1302
Zeeland (PV),Afghanistan,360
Zeeland (PV),Australië,203
Zeeland (PV),België,18576
Zeeland (PV),Brazilië,301
Zeeland (PV),Canada en overig Noord-Amerika,306
Zeeland (PV),China,813
Zeeland (PV),Colombia,197
Zeeland (PV),Dominicaanse Republiek,129
Zeeland (PV),Duitsland,5462
Zeeland (PV),Egypte,264
Zeeland (PV),Ethiopië,251
Zeeland (PV),Filippijnen,373
Zeeland (PV),Frankrijk,1004
Zeeland (PV),Ghana,60
Zeeland (PV),Griekenland,285
Zeeland (PV),Hongarije,405
Zeeland (PV),Hongkong,137
Zeeland (PV),India,226
Zeeland (PV),Indonesië,6058
Zeeland (PV),Irak,629
Zeeland (PV),Iran,321
Zeeland (PV),Italië,488
Zeeland (PV),Japan,30
Zeeland (PV),Kaapverdië,40
Zeeland (PV),Marokko,2330
Zeeland (PV),Oostenrijk,332
Zeeland (PV),Pakistan,129
Zeeland (PV),Polen,3531
Zeeland (PV),Portugal,894
Zeeland (PV),Somalië,637
Zeeland (PV),Spanje,440
Zeeland (PV),Suriname,2534
Zeeland (PV),Turkije,3142
Zeeland (PV),Verenigd Koninkrijk,1784
Zeeland (PV),Verenigde Staten van Amerika,399
Zeeland (PV),Vietnam,528
Zeeland (PV),Zuid-Afrika,401
Zeeland (PV),Overig Afrika,1893
Zeeland (PV),Overig Amerika,735
Zeeland (PV),Overig Azië,2197
Zeeland (PV),Overig Europa,1682
Zeeland (PV),Overig Oceanië,64
Noord-Brabant (PV),Afghanistan,5473
Noord-Brabant (PV),Australië,1974
Noord-Brabant (PV),België,32686
Noord-Brabant (PV),Brazilië,2520
Noord-Brabant (PV),Canada en overig Noord-Amerika,1758
Noord-Brabant (PV),China,8902
Noord-Brabant (PV),Colombia,1260
Noord-Brabant (PV),Dominicaanse Republiek,930
Noord-Brabant (PV),Duitsland,37984
Noord-Brabant (PV),Egypte,1855
Noord-Brabant (PV),Ethiopië,1545
Noord-Brabant (PV),Filippijnen,1974
Noord-Brabant (PV),Frankrijk,4738
Noord-Brabant (PV),Ghana,1162
Noord-Brabant (PV),Griekenland,2203
Noord-Brabant (PV),Hongarije,2867
Noord-Brabant (PV),Hongkong,1694
Noord-Brabant (PV),India,3650
Noord-Brabant (PV),Indonesië,48647
Noord-Brabant (PV),Irak,5179
Noord-Brabant (PV),Iran,3599
Noord-Brabant (PV),Italië,4047
Noord-Brabant (PV),Japan,544
Noord-Brabant (PV),Kaapverdië,181
